Time,UTC time,Year,Month,Day,Day of week text),Day of year,Hours,Min,Seconds,Time of the day hhminsec,Mins since midnight,Sensor nr,Long (deg),Lat (deg),Altitude (m),Traffic Flow (cars/min)
1661998411,2022-09-01T02:13:31,2022,9,1,Th,244,3,13,31,31331,193,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0
1661998712,2022-09-01T02:18:32,2022,9,1,Th,244,3,18,32,31832,198,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661999012,2022-09-01T02:23:32,2022,9,1,Th,244,3,23,32,32332,203,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1661999312,2022-09-01T02:28:32,2022,9,1,Th,244,3,28,32,32832,208,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661999612,2022-09-01T02:33:32,2022,9,1,Th,244,3,33,32,33332,213,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661999912,2022-09-01T02:38:32,2022,9,1,Th,244,3,38,32,33832,218,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662000212,2022-09-01T02:43:32,2022,9,1,Th,244,3,43,32,34332,223,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1662000512,2022-09-01T02:48:32,2022,9,1,Th,244,3,48,32,34832,228,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662000812,2022-09-01T02:53:32,2022,9,1,Th,244,3,53,32,35332,233,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1662001112,2022-09-01T02:58:32,2022,9,1,Th,244,3,58,32,35832,238,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1662001412,2022-09-01T03:03:32,2022,9,1,Th,244,4,3,32,40332,243,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662001711,2022-09-01T03:08:31,2022,9,1,Th,244,4,8,31,40831,248,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1662002012,2022-09-01T03:13:32,2022,9,1,Th,244,4,13,32,41332,253,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1662002312,2022-09-01T03:18:32,2022,9,1,Th,244,4,18,32,41832,258,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1662002612,2022-09-01T03:23:32,2022,9,1,Th,244,4,23,32,42332,263,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1662002912,2022-09-01T03:28:32,2022,9,1,Th,244,4,28,32,42832,268,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1662003212,2022-09-01T03:33:32,2022,9,1,Th,244,4,33,32,43332,273,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662003512,2022-09-01T03:38:32,2022,9,1,Th,244,4,38,32,43832,278,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1662003812,2022-09-01T03:43:32,2022,9,1,Th,244,4,43,32,44332,283,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1662004112,2022-09-01T03:48:32,2022,9,1,Th,244,4,48,32,44832,288,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1662004412,2022-09-01T03:53:32,2022,9,1,Th,244,4,53,32,45332,293,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662004712,2022-09-01T03:58:32,2022,9,1,Th,244,4,58,32,45832,298,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662005012,2022-09-01T04:03:32,2022,9,1,Th,244,5,3,32,50332,303,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662005312,2022-09-01T04:08:32,2022,9,1,Th,244,5,8,32,50832,308,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1662005612,2022-09-01T04:13:32,2022,9,1,Th,244,5,13,32,51332,313,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662005912,2022-09-01T04:18:32,2022,9,1,Th,244,5,18,32,51832,318,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1662006212,2022-09-01T04:23:32,2022,9,1,Th,244,5,23,32,52332,323,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1662006512,2022-09-01T04:28:32,2022,9,1,Th,244,5,28,32,52832,328,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1662006812,2022-09-01T04:33:32,2022,9,1,Th,244,5,33,32,53332,333,[SCC]1YMD2,-1.48421975,53.38098528,103.438,4.8
1662007112,2022-09-01T04:38:32,2022,9,1,Th,244,5,38,32,53832,338,[SCC]1YMD2,-1.48421975,53.38098528,103.438,4
1662007412,2022-09-01T04:43:32,2022,9,1,Th,244,5,43,32,54332,343,[SCC]1YMD2,-1.48421975,53.38098528,103.438,4.8
1662007712,2022-09-01T04:48:32,2022,9,1,Th,244,5,48,32,54832,348,[SCC]1YMD2,-1.48421975,53.38098528,103.438,6.4
1662008012,2022-09-01T04:53:32,2022,9,1,Th,244,5,53,32,55332,353,[SCC]1YMD2,-1.48421975,53.38098528,103.438,4.8
1662008313,2022-09-01T04:58:33,2022,9,1,Th,244,5,58,33,55833,358,[SCC]1YMD2,-1.48421975,53.38098528,103.438,5.6
1662008612,2022-09-01T05:03:32,2022,9,1,Th,244,6,3,32,60332,363,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1662008912,2022-09-01T05:08:32,2022,9,1,Th,244,6,8,32,60832,368,[SCC]1YMD2,-1.48421975,53.38098528,103.438,5.6
1662009212,2022-09-01T05:13:32,2022,9,1,Th,244,6,13,32,61332,373,[SCC]1YMD2,-1.48421975,53.38098528,103.438,5.6
1662009512,2022-09-01T05:18:32,2022,9,1,Th,244,6,18,32,61832,378,[SCC]1YMD2,-1.48421975,53.38098528,103.438,7.2
1662009812,2022-09-01T05:23:32,2022,9,1,Th,244,6,23,32,62332,383,[SCC]1YMD2,-1.48421975,53.38098528,103.438,6.4
1662010112,2022-09-01T05:28:32,2022,9,1,Th,244,6,28,32,62832,388,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0
1662010412,2022-09-01T05:33:32,2022,9,1,Th,244,6,33,32,63332,393,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0
